datetime,device,temperature,humidity
2026-03-18 08:03:32,防水温湿度計 上,24.1,76
2026-03-18 08:03:32,防水温湿度計 下,23,81
2026-03-18 11:12:29,防水温湿度計 箱の外 上,18.6,53
2026-03-18 11:12:29,防水温湿度計 上,21.3,77
2026-03-18 11:12:29,防水温湿度計 下,20.2,82
2026-03-18 14:56:16,防水温湿度計 箱の外 上,17.2,59
2026-03-18 14:56:16,防水温湿度計 上,19.5,80
2026-03-18 14:56:16,防水温湿度計 下,18.5,84
2026-03-18 18:11:04,防水温湿度計 箱の外 上,17.5,62
2026-03-18 18:11:04,防水温湿度計 上,18.8,80
2026-03-18 18:11:04,防水温湿度計 下,18,84
2026-03-18 19:58:23,防水温湿度計 箱の外 上,17.6,62
2026-03-18 19:58:23,防水温湿度計 上,18.7,80
2026-03-18 19:58:23,防水温湿度計 下,18.1,83
2026-03-18 21:51:23,防水温湿度計 箱の外 上,17.3,62
2026-03-18 21:51:23,防水温湿度計 上,18.3,78
2026-03-18 21:51:23,防水温湿度計 下,17.8,81
2026-03-18 23:01:22,防水温湿度計 箱の外 上,17.6,61
2026-03-18 23:01:22,防水温湿度計 上,18.3,78
2026-03-18 23:01:22,防水温湿度計 下,17.8,81
2026-03-18 23:56:43,防水温湿度計 箱の外 上,18,61
2026-03-18 23:56:43,防水温湿度計 上,18.3,78
2026-03-18 23:56:43,防水温湿度計 下,17.9,80
2026-03-19 05:16:37,防水温湿度計 箱の外 上,23.1,46
2026-03-19 05:16:37,防水温湿度計 上,20.5,66
2026-03-19 05:16:37,防水温湿度計 下,22.2,61
2026-03-19 07:53:29,防水温湿度計 箱の外 上,23.5,39
2026-03-19 07:53:29,防水温湿度計 上,21.5,58
2026-03-19 07:53:29,防水温湿度計 下,23.1,52
2026-03-19 10:06:38,防水温湿度計 箱の外 上,19.7,39
2026-03-19 10:06:38,防水温湿度計 上,20.2,58
2026-03-19 10:06:38,防水温湿度計 下,20.4,58
2026-03-19 11:53:00,防水温湿度計 箱の外 上,17.3,40
2026-03-19 11:53:00,防水温湿度計 上,18.8,64
2026-03-19 11:53:00,防水温湿度計 下,18.3,65
2026-03-19 14:38:36,防水温湿度計 箱の外 上,15.8,41
2026-03-19 14:38:36,防水温湿度計 上,17.5,64
2026-03-19 14:38:36,防水温湿度計 下,16.7,65
2026-03-19 17:44:23,防水温湿度計 箱の外 上,14.7,43
2026-03-19 17:44:23,防水温湿度計 上,16.2,62
2026-03-19 17:44:23,防水温湿度計 下,15.4,65
2026-03-19 19:53:21,防水温湿度計 箱の外 上,14.1,44
2026-03-19 19:53:21,防水温湿度計 上,15.6,65
2026-03-19 19:53:21,防水温湿度計 下,14.8,67
2026-03-19 21:49:00,防水温湿度計 箱の外 上,13.5,45
2026-03-19 21:49:00,防水温湿度計 上,15,65
2026-03-19 21:49:00,防水温湿度計 下,14.3,68
2026-03-19 22:59:32,防水温湿度計 箱の外 上,14.6,46
2026-03-19 22:59:32,防水温湿度計 上,15.1,65
2026-03-19 22:59:32,防水温湿度計 下,14.4,65
